Counter-Strike,Half-Life,Half-Life 2,Counter-Strike: Source,Day of Defeat: Source,Half-Life 2: Deathmatch,Half-Life 2: Episode One,Portal,Half-Life 2: Episode Two,Left 4 Dead,Left 4 Dead 2,Portal 2,Counter-Strike: Global Offensive,Killing Floor,Plants vs. Zombies: Game of the Year,Psychonauts,Garry's Mod,BioShock,Just Cause 2,BioShock Infinite,Sid Meier's Civilization V,Grand Theft Auto IV,World of Goo,Fallout: New Vegas,Braid,Deus Ex: Human Revolution,Batman: Arkham Asylum GOTY Edition,Dwarfs!?,Trine,Trine 2,Super Meat Boy,Torchlight,Magicka,Metro 2033,LIMBO,Borderlands 2,Mafia II,Amnesia: The Dark Descent,VVVVVV,Sonic Generations,The Elder Scrolls V: Skyrim,Jamestown,Frozen Synapse,Orcs Must Die!,Terraria,Bastion,Alan Wake,Quantum Conundrum,XCOM: Enemy Unknown,Tomb Raider,Dishonored,Dota 2 Test,The Walking Dead,Sonic & All-Stars Racing Transformed,FTL: Faster Than Light,Scribblenauts Unlimited,Hotline Miami,Chivalry: Medieval Warfare,Don't Starve,Far Cry 3,The Stanley Parable,Brothers - A Tale of Two Sons,Euro Truck Simulator 2,Papers, Please,Middle-earth: Shadow of Mordor,Grand Theft Auto V
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
